date,author,likes,score,content
2019/2/9 18:46,风呤月,0,10,我爱我的国，在华夏我才能   解风花雪月   知诗词意境   言华夏仪章   明文化传承知来处，明去出，这上下五千多年的文化也是我们民族的信仰  谢谢，国家宝藏让更多人知道我们的文化我们的传承
2019/2/9 18:44,流沙-韩非,0,10,一如既往地优秀，国宝、故事、歌曲，都念念不忘，第二季打卡，期待第三季！
2019/2/9 17:42,萌新的世界很中二,0,10,博大精深，民族自信
2019/2/9 17:40,终是南柯1梦,0,10,果然是个音乐剧
2019/2/9 17:33,我是猫控的蒲公英,0,10,国家宝藏让我认识了文物，了解文物的内涵。也让我一个普通人通过国家宝藏了解自己国家的历史。并感到自豪
2019/2/9 16:56,晴叶樱雨,0,10,谢谢这档节目，让我更喜欢历史了！能了解到那些与我隔着几百上千年岁月的古物到底讲述着怎样的故事真是太好了w感谢所有考古人的坚守，这个行业在我心里一直很了不起。
2019/2/9 16:55,鸢一折纸QAQ,0,10,爱了
2019/2/9 16:54,chilewa,0,8,还行
2019/1/28 10:29,有姝xi,0,10,让我们了解国宝并激励现实，很好的节目，对于我这个历史爱好者来说，是了解历史的好方式
2019/2/8 18:18,我歌谪仙白云歌,0,8,前世剧情有点欠妥，偏煽情，质量不如第一季，但其实也还不错
2019/2/8 13:00,小11的蛋奶沙司,0,10,我爱汉服！我爱明制！
2019/2/8 12:31,香咕琭琭,0,10,守护国宝，守护赤诚之心
2019/2/8 7:33,清晨丶泽淅,0,10,文物没有高低贵贱之分 文物没有高低贵贱之分 文物没有高低贵贱之分
2019/2/8 2:04,帝王家的小白,0,10,泪目，没看过的去看看吧
2019/2/8 0:58,执笔勾青丝,0,10,太好看了吧！
2019/2/7 10:54,陌上锦城,1,10,每次看都激動澎湃！國寶之所以是國產的理由我每個都好認可！華夏之大，華夏之厚，華夏之美，广！深！秀！
2019/2/7 10:11,土豆之王,1,10,爱了爱了(?°з°)-
2018/12/24 4:33,流殊居士,0,10,真的很棒的节目，强烈推荐，同时期待第三季。期待北京故宫博物院的国宝印信能传给台湾省的台北故宫博物院。不过啊，希望大家在弹幕讨论的时候，一请不要老黑明星守护人；而请不要站在上帝视角批判古人，谢谢。
2019/2/7 17:02,武鸣无心,0,10,太棒了
2019/2/7 13:29,芣苢薏米,0,10,巨赞
2019/2/7 13:13,朱大源子,0,10,身为中国人而感到自豪
2019/2/7 13:07,皓月无影0,0,10,让国宝活起来，更让好听的歌曲流传出去
2019/2/7 13:06,雪樱秦,0,10,满满的作文素材啊，这档节目对学政史的文科生真是福音
2019/2/7 11:38,脱缰的野妖,0,6,不再喜欢了，不是因为明星，只是因为没有看下去的动力。
2019/2/7 10:38,忍足-飞雪,0,10,国宝真的很棒！
2019/2/7 9:30,菜小达,0,10,吼啊！
2019/2/7 9:11,凉暖彼岸,0,10,期待第三季，《国家宝藏》教会了我很多，让我更好的了解了文物的历史与故事，让我身为一个中国人感到骄傲与自豪！
2019/2/7 7:33,春水满四泽,0,10,何以华夏，何以中国？是以传承，是以辉煌。
2019/2/7 7:11,陆准,0,10,大爱超级棒
2019/2/7 6:42,王云守仁阳明子,0,10,国宝无双！
2019/2/7 6:41,清风无语中,0,10,大气磅礴
2019/2/7 4:34,东方苏三,0,10,把历史重现于世人眼前，用一件件历史器具重现时代辉煌，传万世之国风
2018/12/5 2:56,一花开一界,0,10,经典在线
2019/2/6 14:58,二季酱,0,10,此生无悔入华夏，来世还在种花家！
2019/2/6 14:27,晴光转绿蘋666,0,10,对明星的偏见让你们不能享受国宝，可惜了
